date,open,high,low,close,volume
2022-09-12,109.95,110.58,108.9,109.82,22966752
2022-09-13,106.79,107.29,103.12,103.34,38172871
2022-09-14,103.59,104.29,102.69,104.02,26395134
2022-09-15,103.06,104.28,101.39,101.95,34188284
2022-09-16,101.11,102.16,100,101.84,42797172
2022-09-19,100.8,102.36,100.6,102.11,23036811
2022-09-20,101.12,101.41,99.58,100.19,26517123
2022-09-21,100.72,101.92,98.34,98.35,31487265
2022-09-22,97.89,100.29,97.87,99.2,34298619
2022-09-23,98.7,98.73,96.56,97.82,31625437
2022-09-26,97.18,98.95,96.88,97.25,27072662
2022-09-27,98.5,99.06,95.96,96.59,30072781
2022-09-28,96.74,99.76,96.2,99.11,32466323
2022-09-29,97.72,97.72,95.06,96.51,31047224
2022-09-30,96.14,97.97,94.67,94.75,32941493
2022-10-03,95.85,98.36,95.62,97.72,27982031
2022-10-04,99.5,100.89,99.44,100.69,28850773
2022-10-05,98.9,100.98,97.88,100.48,22176903
2022-10-06,99.74,101.97,99.65,100.47,22323989
2022-10-07,98.92,99.59,97.38,97.76,27502765
2022-10-10,98.07,98.17,96.1,96.94,18225094
2022-10-11,96.52,98.32,95.41,96.27,26507103
2022-10-12,96.39,97.83,95.83,96.65,21876362
2022-10-13,94.26,98.85,93.5,98.13,34574549
2022-10-14,99.05,99.75,95.47,95.66,25410674
2022-10-17,97.93,99.99,97.9,99.03,28419192
2022-10-18,102.16,102.5,99.03,99.83,24060671
2022-10-19,99.07,100.07,97.99,98.7,23811064
2022-10-20,99.06,101.36,98.46,99.03,25323202
2022-10-21,96.93,100.36,96.81,100.18,32458722
2022-10-24,100.85,101.79,99.04,101.56,27176417
2022-10-25,101.94,103.84,101.76,103.5,40611375
2022-10-26,95.53,97.39,93.8,94.04,88279042
2022-10-27,93.64,94.54,90.94,91.36,60710859
2022-10-28,91.41,95.65,91.27,95.39,43697286
2022-10-31,94.53,95.13,93.1,93.63,31675036
2022-11-01,94.56,95.13,89.52,89.62,47161351
2022-11-02,90.09,90.33,86.07,86.16,57038282
2022-11-03,85.51,85.71,82.56,82.65,61288019
2022-11-04,84.6,85.83,82.93,85.77,51124904
2022-11-07,86.46,88.07,86.04,87.66,34078912
2022-11-08,88.07,89.47,86.77,88.07,30429025
2022-11-09,87.62,88.6,86.46,86.5,31769099
2022-11-10,91.39,93.51,90.75,93.06,51620136
2022-11-11,93.8,96.02,93.04,95.51,33090482
2022-11-14,94.2,95.88,93.63,94.8,30179539
2022-11-15,97.34,99.2,95.8,97.52,41640816
2022-11-16,96.98,98.71,96.73,97.92,29105154
2022-11-17,96.06,98.35,95.88,97.44,26052599
2022-11-18,97.85,97.97,95.47,96.52,28342297
2022-11-21,96.38,97.48,94.47,94.71,21647387
2022-11-22,95.05,96.31,93.17,96.14,23438480
2022-11-23,96.18,97.84,96.18,97.54,18868092
2022-11-25,97.32,97.72,96.49,96.55,9701441
2022-11-28,96.13,96.67,94.72,95.15,26252433
2022-11-29,94.83,95.22,93.23,94.3,20061720
2022-11-30,93.93,100.09,93.54,100.04,43647481
2022-12-01,100.07,101.29,99.31,100.04,28687096
2022-12-02,98.12,99.83,97.97,99.5,21480703
2022-12-05,98.47,100.43,98.07,98.55,24405087
2022-12-06,98.37,98.85,95.52,96.07,24910655
2022-12-07,95.51,95.97,93.83,94.05,31045449
2022-12-08,94.49,94.69,92.58,92.83,32213288
2022-12-09,92.89,93.38,91.88,91.96,28225448
2022-12-12,91.84,92.68,90.75,92.44,29009013
2022-12-13,96.84,98.6,94.14,94.73,40593656
2022-12-14,94.31,95.96,92.72,94.18,28733599
2022-12-15,92.26,92.76,89.17,90.01,40107033
2022-12-16,89.91,90.48,88.68,89.42,58011847
2022-12-19,89.42,89.71,87.38,87.61,29493030
2022-12-20,87.29,88.35,86.62,88.19,23453836
2022-12-21,88.25,89.38,87.49,88.74,24745637
2022-12-22,87.33,87.71,85.51,86.94,27658293
2022-12-23,86.29,88.71,86.25,88.39,23003035
2022-12-27,87.97,88.11,86.2,86.57,20097346
2022-12-28,86.17,87.22,85.14,85.21,19523176
2022-12-29,85.81,88.02,85.8,87.62,23333537
